PUNTO;ESTADO;REGION;BOTELLONES;VENTA;FECHA
JARDIN;Activo;MAGDALENA;46,75;168300;2019-01-02 13:46:36.943
ZONA FRANCA CARTAGENA;Activo;BOLIVAR;0;0;2019-01-01 06:40:22.990
OLAYA;Inactivo;MAGDALENA;1,5;5400;2019-01-01 08:00:51.680
CRESPO;Inactivo;BOLIVAR;3,25;11700;2019-01-01 08:05:39.320
GALICIA;Activo;MAGDALENA;15;54000;2019-01-01 08:15:10.253
FERROCARRIL;Activo;MAGDALENA;8;28800;2019-01-01 08:18:10.923
EDS EL RIO;Activo;MAGDALENA;17,25;62100;2019-01-01 08:34:44.260
ALCAZARES;Inactivo;MAGDALENA;9,75;35100;2019-01-01 08:47:45.840
EDS ARCAS;Inactivo;MAGDALENA;5,25;18900;2019-01-01 08:50:02.883
BAVARIA 2;Inactivo;MAGDALENA;3,25;11700;2019-01-01 09:09:02.693
BAVARIA;Inactivo;MAGDALENA;8;28800;2019-01-01 09:19:22.840
GRANJA;Activo;BOLIVAR;69;248400;2019-01-01 09:29:46.400
DON LEON;Activo;ATLANTICO;9,5;34200;2019-01-01 09:32:44.870
ALMENDROS;Inactivo;MAGDALENA;1,25;4500;2019-01-01 09:36:59.667
CALLE 30;Inactivo;MAGDALENA;3;10800;2019-01-01 09:39:51.960
CRUZ;Activo;BOLIVAR;78;280800;2019-01-01 09:58:47.390
DON ROBERTO;Activo;ATLANTICO;9,75;35100;2019-01-01 10:02:46.133
PANDO;Inactivo;MAGDALENA;8;28800;2019-01-01 10:04:47.133
DELICIAS;Inactivo;MAGDALENA;14,75;53100;2019-01-01 10:16:11.787
CASTELLANA;Inactivo;BOLIVAR;6,25;22500;2019-01-01 10:17:29.040
PORVENIR;Activo;ATLANTICO;4,25;15300;2019-01-01 10:21:00.167
CIUDADELA;Activo;MAGDALENA;3;10800;2019-01-01 10:24:21.190
PESCAITO;Inactivo;MAGDALENA;11;39600;2019-01-01 10:27:45.387
BOKOBA;Inactivo;ATLANTICO;6,5;23400;2019-01-01 10:41:16.997
3K;Activo;ATLANTICO;10,25;36900;2019-01-01 10:44:54.850
ARMELA;Inactivo;ATLANTICO;4,5;16200;2019-01-01 10:54:45.793
EDS LAS MARIA ARJONA;Inactivo;BOLIVAR;25,25;90900;2019-01-01 11:00:23.757
CURINCA;Inactivo;MAGDALENA;3,5;12600;2019-01-01 11:04:08.443
UNIMAGDALENA;Activo;MAGDALENA;8,75;31500;2019-01-01 11:04:21.000
COBY;Inactivo;ATLANTICO;3,25;11700;2019-01-01 11:13:24.937
SANTA CRUZ;Inactivo;MAGDALENA;3;10800;2019-01-01 11:14:27.087
ARJONA;Activo;BOLIVAR;23;82800;2019-01-01 11:16:20.020
ALTOS PLAN PAREJO;Activo;BOLIVAR;64;230400;2019-01-01 11:30:55.393
PARAISO;Inactivo;ATLANTICO;5,75;20700;2019-01-01 11:34:58.287
MALAMBO PALACE;Inactivo;ATLANTICO;3,25;11700;2019-01-01 11:35:51.423
CIUDAD DEL SOL;Inactivo;MAGDALENA;9;32400;2019-01-01 11:42:33.633
MIRA CAMPESTRE;Inactivo;MAGDALENA;3,25;11700;2019-01-01 11:48:49.087
EL REY;Activo;ATLANTICO;4,75;17100;2019-01-01 11:51:10.823
YUCAL;Activo;MAGDALENA;8,5;30600;2019-01-01 12:02:50.260
11 DE NOVIEMBRE;Inactivo;MAGDALENA;16,75;60300;2019-01-01 12:19:58.163
MERIÑO;Inactivo;ATLANTICO;4;14400;2019-01-01 12:22:34.477
MARIA;Inactivo;ATLANTICO;7;25200;2019-01-01 13:11:52.923
ESTRELLA;Inactivo;BOLIVAR;1;3600;2019-01-01 13:23:22.887
MARIA AUXILIADORA;Activo;ATLANTICO;5,25;18900;2019-01-01 14:01:14.230
TURBACO;Activo;BOLIVAR;29,5;106200;2019-01-01 14:13:43.940
ZONA FRANCA BARRANQUILLA;Inactivo;ATLANTICO;5,5;22000;2019-01-01 14:32:12.737
GAIRA;Inactivo;MAGDALENA;9,75;35100;2019-01-01 14:48:16.407
RODADERO 2;Inactivo;MAGDALENA;35,5;127800;2019-01-01 15:09:28.187
RODADERO;Inactivo;MAGDALENA;44;158400;2019-01-01 15:43:10.160
PUERTO COLOMBIA;Activo;ATLANTICO;22;79200;2019-01-01 15:55:22.113
MANZANARES;Activo;MAGDALENA;9,75;35100;2019-01-01 16:05:38.407
GAIRA;Inactivo;MAGDALENA;8,75;31500;2019-01-02 07:56:26.587
RODADERO 2;Inactivo;MAGDALENA;17,5;63000;2019-01-02 08:11:00.293
RODADERO;Inactivo;MAGDALENA;22,5;81000;2019-01-02 08:34:14.860
DELICIAS;Inactivo;MAGDALENA;27,5;99000;2019-01-02 08:39:34.800
MANZANARES;Activo;MAGDALENA;5,25;18900;2019-01-02 08:46:23.040
CALLE 30;Inactivo;MAGDALENA;1,75;6300;2019-01-02 08:54:58.097
PESCAITO;Inactivo;MAGDALENA;7,75;27900;2019-01-02 08:56:10.277
ALMENDROS;Inactivo;MAGDALENA;6,25;22500;2019-01-02 09:04:28.537
PANDO;Inactivo;MAGDALENA;2,75;9900;2019-01-02 09:14:47.153
GRANJA;Activo;BOLIVAR;154;554400;2019-01-02 09:27:51.210
CIUDADELA;Activo;MAGDALENA;18;64800;2019-01-02 09:30:08.150
GALICIA;Activo;MAGDALENA;55,75;200700;2019-01-02 09:37:49.087
UNIMAGDALENA;Activo;MAGDALENA;10,25;36900;2019-01-02 09:55:57.707
ESTRELLA;Inactivo;BOLIVAR;6,75;24300;2019-01-02 10:08:20.983
ZONA FRANCA BARRANQUILLA;Inactivo;ATLANTICO;10;40000;2019-01-02 10:08:30.333
EDS ARCAS;Inactivo;MAGDALENA;10,25;36900;2019-01-02 10:12:39.400
EDS EL RIO;Activo;MAGDALENA;22,5;81000;2019-01-02 10:22:14.413
MIRA CAMPESTRE;Inactivo;MAGDALENA;5,25;18900;2019-01-02 10:48:56.953
MARIA AUXILIADORA;Activo;ATLANTICO;8;28800;2019-01-02 10:55:27.453
CIUDAD DEL SOL;Inactivo;MAGDALENA;4,5;16200;2019-01-02 11:00:13.073
TURBACO;Activo;BOLIVAR;33,5;120600;2019-01-02 11:04:14.260
ALCAZARES;Inactivo;MAGDALENA;29,25;105300;2019-01-02 11:08:55.613
PLAN PAREJO;Inactivo;BOLIVAR;83,25;299700;2019-01-02 11:21:07.117
BAVARIA;Inactivo;MAGDALENA;15;54000;2019-01-02 11:23:04.300
SANTA CRUZ;Inactivo;MAGDALENA;0,75;2700;2019-01-02 11:23:16.793
BOKOBA;Inactivo;ATLANTICO;9,75;35100;2019-01-02 11:25:05.153
CURINCA;Inactivo;MAGDALENA;7,25;26100;2019-01-02 11:32:12.243
BAVARIA 2;Inactivo;MAGDALENA;4,75;17100;2019-01-02 11:37:28.980
ARMELA;Inactivo;ATLANTICO;15,25;54900;2019-01-02 11:40:37.817
YUCAL;Activo;MAGDALENA;6,5;23400;2019-01-02 11:43:44.523
ZONA FRANCA CARTAGENA;Activo;BOLIVAR;61;244000;2019-01-02 11:45:29.813
JARDIN;Activo;MAGDALENA;242;871200;2019-01-01 13:46:36.943
ALTOS PLAN PAREJO;Activo;BOLIVAR;84,75;305100;2019-01-02 11:49:30.387
FERROCARRIL;Activo;MAGDALENA;28,25;101700;2019-01-02 11:53:34.903
11 DE NOVIEMBRE;Inactivo;MAGDALENA;16,75;60300;2019-01-02 12:01:23.847
OLAYA;Inactivo;MAGDALENA;11,75;42300;2019-01-02 12:13:11.467
COBY;Inactivo;ATLANTICO;11,25;40500;2019-01-02 13:34:12.557
EL REY;Activo;ATLANTICO;24,5;88200;2019-01-02 13:51:56.303
MALAMBO PALACE;Inactivo;ATLANTICO;2,25;8100;2019-01-02 13:55:03.550
PARAISO;Inactivo;ATLANTICO;14,25;51300;2019-01-02 14:03:35.360
3K;Activo;ATLANTICO;27;97200;2019-01-02 14:23:38.207
MERIÑO;Inactivo;ATLANTICO;17,75;63900;2019-01-02 14:24:45.763
DON LEON;Activo;ATLANTICO;35,75;128700;2019-01-02 14:47:19.573
PORVENIR;Activo;ATLANTICO;7,5;27000;2019-01-02 15:02:28.747
DON ROBERTO;Activo;ATLANTICO;34,25;123300;2019-01-02 15:34:16.673
EDS LAS MARIA ARJONA;Inactivo;BOLIVAR;36,5;131400;2019-01-02 15:54:38.610
ARJONA;Activo;BOLIVAR;87,5;315000;2019-01-02 16:03:44.030
CRESPO;Inactivo;BOLIVAR;16,5;59400;2019-01-02 16:40:33.620
MARIA;Inactivo;ATLANTICO;5,5;19800;2019-01-02 16:45:55.100
CRUZ;Activo;BOLIVAR;144,25;519300;2019-01-02 18:06:07.790
PUERTO COLOMBIA;Activo;ATLANTICO;22,75;81900;2019-01-02 18:16:35.713
CASTELLANA;Inactivo;BOLIVAR;21,75;78300;2019-01-02 18:22:28.267
ZONA FRANCA CARTAGENA;Activo;BOLIVAR;11;44000;2019-01-03 06:40:42.773
GAIRA;Inactivo;MAGDALENA;9,5;34200;2019-01-03 07:02:20.637
RODADERO 2;Inactivo;MAGDALENA;29;104400;2019-01-03 07:42:52.387
GALICIA;Activo;MAGDALENA;44,75;161100;2019-01-03 07:56:41.263
RODADERO;Inactivo;MAGDALENA;49,75;179100;2019-01-03 07:58:27.453
EDS EL RIO;Activo;MAGDALENA;14,25;51300;2019-01-03 08:16:32.473
PANDO;Inactivo;MAGDALENA;9,5;34200;2019-01-03 08:30:13.817
EDS ARCAS;Inactivo;MAGDALENA;6,25;22500;2019-01-03 08:33:21.397
CIUDADELA;Activo;MAGDALENA;13,75;49500;2019-01-03 08:39:23.320
UNIMAGDALENA;Activo;MAGDALENA;9,75;35100;2019-01-03 08:56:27.620
JARDIN;Activo;MAGDALENA;46,75;168300;2019-01-03 08:57:39.447
ALMENDROS;Inactivo;MAGDALENA;7,5;27000;2019-01-03 09:12:13.780
CRUZ;Activo;BOLIVAR;57;205200;2019-01-03 09:23:16.130
DELICIAS;Inactivo;MAGDALENA;52;187200;2019-01-03 09:23:23.567
PESCAITO;Inactivo;MAGDALENA;4,5;16200;2019-01-03 09:37:11.090
GRANJA;Activo;BOLIVAR;137,25;494100;2019-01-03 09:40:02.550
BAVARIA;Inactivo;MAGDALENA;14;50400;2019-01-03 09:51:43.480
BAVARIA 2;Inactivo;MAGDALENA;9,75;35100;2019-01-03 10:08:15.193
EL REY;Activo;ATLANTICO;11,25;40500;2019-01-03 10:11:40.060
YUCAL;Activo;MAGDALENA;13,25;47700;2019-01-03 10:13:35.267
CALLE 30;Inactivo;MAGDALENA;6,5;23400;2019-01-03 10:17:42.087
11 DE NOVIEMBRE;Inactivo;MAGDALENA;18;64800;2019-01-03 10:30:46.687
TURBACO;Activo;BOLIVAR;66;237600;2019-01-03 10:39:52.237
MANZANARES;Activo;MAGDALENA;9,75;35100;2019-01-03 10:44:38.897
PARAISO;Inactivo;ATLANTICO;4;14400;2019-01-03 10:49:02.250
PLAN PAREJO;Inactivo;BOLIVAR;44,75;161100;2019-01-03 10:55:11.260
ALCAZARES;Inactivo;MAGDALENA;20,75;74700;2019-01-03 11:00:32.237
CURINCA;Inactivo;MAGDALENA;10,5;37800;2019-01-03 11:02:13.230
FERROCARRIL;Activo;MAGDALENA;20,5;73800;2019-01-03 11:21:29.790
EDS LAS MARIA ARJONA;Inactivo;BOLIVAR;22,25;80100;2019-01-03 11:35:14.640
SANTA CRUZ;Inactivo;MAGDALENA;2;7200;2019-01-03 11:38:26.687
CIUDAD DEL SOL;Inactivo;MAGDALENA;11;39600;2019-01-03 11:49:14.417
OLAYA;Inactivo;MAGDALENA;5,75;20700;2019-01-03 11:51:28.680
MIRA CAMPESTRE;Inactivo;MAGDALENA;4;14400;2019-01-03 11:56:26.523
ALTOS PLAN PAREJO;Activo;BOLIVAR;66,5;239400;2019-01-03 12:01:32.197
ARJONA;Activo;BOLIVAR;43,25;155700;2019-01-03 12:14:10.377
ZONA FRANCA BARRANQUILLA;Inactivo;ATLANTICO;31;124000;2019-01-03 12:39:53.633
DON LEON;Activo;ATLANTICO;33,5;120600;2019-01-03 13:00:21.830
MARIA AUXILIADORA;Activo;ATLANTICO;38,25;137700;2019-01-03 13:18:29.853
PORVENIR;Activo;ATLANTICO;14,75;53100;2019-01-03 13:35:18.957
CRESPO;Inactivo;BOLIVAR;10,5;37800;2019-01-03 13:41:21.147
BOKOBA;Inactivo;ATLANTICO;10;36000;2019-01-03 13:50:49.503
DON ROBERTO;Activo;ATLANTICO;32,75;117900;2019-01-04 14:02:44.230
ARMELA;Inactivo;ATLANTICO;18;64800;2019-01-03 14:06:08.770
CASTELLANA;Inactivo;BOLIVAR;15;54000;2019-01-03 14:20:35.420
COBY;Inactivo;ATLANTICO;11;39600;2019-01-03 14:33:51.853
3K;Activo;ATLANTICO;21;75600;2019-01-03 15:16:38.290
MERIÑO;Inactivo;ATLANTICO;15,5;55800;2019-01-03 15:40:48.160
MARIA;Inactivo;ATLANTICO;7;25200;2019-01-03 15:41:39.983
MALAMBO PALACE;Inactivo;ATLANTICO;5,25;18900;2019-01-03 16:00:28.607
PUERTO COLOMBIA;Activo;ATLANTICO;23,5;84600;2019-01-03 16:51:55.103
ZONA FRANCA CARTAGENA;Activo;BOLIVAR;70,75;283000;2019-01-04 06:41:02.117
ALTOS PLAN PAREJO;Activo;BOLIVAR;43;154800;2019-01-04 07:33:45.017
MALAMBO PALACE;Inactivo;ATLANTICO;1;3600;2019-01-04 07:35:04.927
PLAN PAREJO;Inactivo;BOLIVAR;30;108000;2019-01-04 07:40:21.153
MERIÑO;Inactivo;ATLANTICO;8,75;31500;2019-01-04 07:46:34.443
TURBACO;Activo;BOLIVAR;35,5;127800;2019-01-04 07:53:59.173
BOKOBA;Inactivo;ATLANTICO;0;0;2019-01-04 08:19:17.977
ESTRELLA;Inactivo;BOLIVAR;8,75;31500;2019-01-04 08:28:33.763
ARMELA;Inactivo;ATLANTICO;8,5;30600;2019-01-04 08:30:31.883
ARJONA;Activo;BOLIVAR;20,75;74700;2019-01-04 08:50:48.267
COBY;Inactivo;ATLANTICO;5,75;20700;2019-01-04 08:55:04.600
BAVARIA 2;Inactivo;MAGDALENA;2,75;9900;2019-01-04 09:05:48.330
PESCAITO;Inactivo;MAGDALENA;20;72000;2019-01-04 09:11:41.413
BAVARIA;Inactivo;MAGDALENA;12,5;45000;2019-01-04 09:12:54.737
ALCAZARES;Inactivo;MAGDALENA;26;93600;2019-01-04 09:52:20.290
ALMENDROS;Inactivo;MAGDALENA;6,75;24300;2019-01-04 09:57:12.193
EDS LAS MARIA ARJONA;Inactivo;BOLIVAR;32,75;117900;2019-01-04 09:58:41.193
JARDIN;Activo;MAGDALENA;55;198000;2019-01-04 10:02:41.663
ESTRELLA;Inactivo;BOLIVAR;9,25;33300;2019-01-03 10:08:20.983
GALICIA;Activo;MAGDALENA;58,75;211500;2019-01-04 10:14:10.400
EDS EL RIO;Activo;MAGDALENA;33,25;119700;2019-01-04 10:23:47.537
CRUZ;Activo;BOLIVAR;103,75;373500;2019-01-04 10:34:40.843
EDS ARCAS;Inactivo;MAGDALENA;24,75;89100;2019-01-04 10:40:27.317
MARIA AUXILIADORA;Activo;ATLANTICO;14;50400;2019-01-04 10:41:33.750
MARIA;Inactivo;ATLANTICO;3,25;11700;2019-01-04 10:54:17.510
SANTA CRUZ;Inactivo;MAGDALENA;6,5;23400;2019-01-04 11:06:39.970
ZONA FRANCA BARRANQUILLA;Inactivo;ATLANTICO;0;0;2019-01-04 11:14:09.147
RODADERO 2;Inactivo;MAGDALENA;34;122400;2019-01-04 11:23:30.500
CURINCA;Inactivo;MAGDALENA;4,75;17100;2019-01-04 11:32:50.660
3K;Activo;ATLANTICO;22;79200;2019-01-04 11:37:20.873
CIUDAD DEL SOL;Inactivo;MAGDALENA;10,5;37800;2019-01-04 11:40:06.190
MIRA CAMPESTRE;Inactivo;MAGDALENA;6;21600;2019-01-04 11:46:29.630
DON LEON;Activo;ATLANTICO;29,5;106200;2019-01-04 11:47:21.963
GRANJA;Activo;BOLIVAR;180;648000;2019-01-04 11:47:46.970
PUERTO COLOMBIA;Activo;ATLANTICO;36;129600;2019-01-04 11:50:55.440
GAIRA;Inactivo;MAGDALENA;11;39600;2019-01-04 11:56:47.353
YUCAL;Activo;MAGDALENA;16,5;59400;2019-01-04 11:58:03.330
PORVENIR;Activo;ATLANTICO;10,75;38700;2019-01-04 11:58:21.047
11 DE NOVIEMBRE;Inactivo;MAGDALENA;19,25;69300;2019-01-04 12:08:30.413
RODADERO;Inactivo;MAGDALENA;54,25;195300;2019-01-04 12:23:07.133
DELICIAS;Inactivo;MAGDALENA;41;147600;2019-01-04 12:30:35.280
MANZANARES;Activo;MAGDALENA;11,75;42300;2019-01-04 12:38:47.673
CRESPO;Inactivo;BOLIVAR;7,25;26100;2019-01-04 13:10:49.130
PARAISO;Inactivo;ATLANTICO;12,25;44100;2019-01-04 13:14:13.380
EL REY;Activo;ATLANTICO;24,5;88200;2019-01-04 13:19:00.767
CASTELLANA;Inactivo;BOLIVAR;17;61200;2019-01-04 13:43:20.197
CALLE 30;Inactivo;MAGDALENA;12,25;44100;2019-01-04 14:23:26.147
PANDO;Inactivo;MAGDALENA;5,5;19800;2019-01-06 14:30:43.963
CIUDADELA;Activo;MAGDALENA;19,25;69300;2019-01-04 14:37:45.850
UNIMAGDALENA;Activo;MAGDALENA;19,5;70200;2019-01-04 15:25:08.847
FERROCARRIL;Activo;MAGDALENA;25,25;90900;2019-01-04 16:03:55.267
OLAYA;Inactivo;MAGDALENA;7,75;27900;2019-01-04 16:15:31.297
PUERTO COLOMBIA;Activo;ATLANTICO;12;43200;2019-01-05 06:59:52.230
PESCAITO;Inactivo;MAGDALENA;22,5;81000;2019-01-05 08:00:09.593
ESTRELLA;Inactivo;BOLIVAR;9,75;35100;2019-01-05 08:05:28.037
TURBACO;Activo;BOLIVAR;54,75;197100;2019-01-05 08:14:40.820
DELICIAS;Inactivo;MAGDALENA;11,25;40500;2019-01-05 08:16:29.140
MARIA;Inactivo;ATLANTICO;1;3600;2019-01-05 08:17:13.583
CRUZ;Activo;BOLIVAR;42;151200;2019-01-05 08:20:38.930
PLAN PAREJO;Inactivo;BOLIVAR;53,25;191700;2019-01-05 08:27:40.427
ALMENDROS;Inactivo;MAGDALENA;1,25;4500;2019-01-05 08:30:19.090
ALTOS PLAN PAREJO;Activo;BOLIVAR;84,25;303300;2019-01-05 08:37:46.277
JARDIN;Activo;MAGDALENA;60,5;217800;2019-01-05 08:39:49.633
GALICIA;Activo;MAGDALENA;37,5;135000;2019-01-05 08:51:09.100
GRANJA;Activo;BOLIVAR;119;428400;2019-01-05 08:57:58.520
EDS ARCAS;Inactivo;MAGDALENA;5,5;19800;2019-01-05 09:08:44.147
EDS EL RIO;Activo;MAGDALENA;15;54000;2019-01-05 09:15:54.460
YUCAL;Activo;MAGDALENA;17,25;62100;2019-01-05 09:29:47.430
EDS LAS MARIA ARJONA;Inactivo;BOLIVAR;32,25;116100;2019-01-05 09:40:29.180
11 DE NOVIEMBRE;Inactivo;MAGDALENA;21;75600;2019-01-05 09:41:12.267
MIRA CAMPESTRE;Inactivo;MAGDALENA;14;50400;2019-01-05 09:52:55.563
ARJONA;Activo;BOLIVAR;44,25;159300;2019-01-05 09:53:26.417
CIUDAD DEL SOL;Inactivo;MAGDALENA;7,5;27000;2019-01-05 10:00:12.763
SANTA CRUZ;Inactivo;MAGDALENA;8;28800;2019-01-05 10:09:47.477
CURINCA;Inactivo;MAGDALENA;2;7200;2019-01-05 10:33:08.880
3K;Activo;ATLANTICO;0;0;2019-01-05 11:01:24.383
ALCAZARES;Inactivo;MAGDALENA;26,75;96300;2019-01-05 11:32:05.637
BAVARIA;Inactivo;MAGDALENA;16,25;58500;2019-01-05 11:40:24.707
BAVARIA 2;Inactivo;MAGDALENA;6,75;24300;2019-01-05 11:46:51.643
FERROCARRIL;Activo;MAGDALENA;18,75;67500;2019-01-05 11:54:23.790
CASTELLANA;Inactivo;BOLIVAR;9,5;34200;2019-01-05 11:58:22.227
OLAYA;Inactivo;MAGDALENA;1,5;5400;2019-01-05 12:11:55.850
MARIA AUXILIADORA;Activo;ATLANTICO;16;57600;2019-01-05 12:17:40.237
CRESPO;Inactivo;BOLIVAR;7,75;27900;2019-01-05 12:58:35.253
DON LEON;Activo;ATLANTICO;27,75;99900;2019-01-05 14:11:19.610
PORVENIR;Activo;ATLANTICO;12,5;45000;2019-01-05 14:43:07.947
CIUDADELA;Activo;MAGDALENA;22,25;80100;2019-01-05 15:10:41.853
UNIMAGDALENA;Activo;MAGDALENA;22,5;81000;2019-01-05 15:25:50.010
CALLE 30;Inactivo;MAGDALENA;6,5;23400;2019-01-05 15:43:18.493
ARMELA;Inactivo;ATLANTICO;26;93600;2019-01-05 15:44:57.827
MANZANARES;Activo;MAGDALENA;9,5;34200;2019-01-05 15:49:34.503
COBY;Inactivo;ATLANTICO;15;54000;2019-01-05 15:51:20.230
BOKOBA;Inactivo;ATLANTICO;0;0;2019-01-05 15:59:20.213
RODADERO;Inactivo;MAGDALENA;54,5;196200;2019-01-05 16:06:18.190
RODADERO 2;Inactivo;MAGDALENA;40,75;146700;2019-01-05 16:11:45.787
MERIÑO;Inactivo;ATLANTICO;25,75;92700;2019-01-05 16:13:02.257
GAIRA;Inactivo;MAGDALENA;23,5;84600;2019-01-05 16:18:20.953
MALAMBO PALACE;Inactivo;ATLANTICO;3,5;12600;2019-01-05 16:22:31.200
EL REY;Activo;ATLANTICO;25,25;90900;2019-01-05 17:21:30.157
PARAISO;Inactivo;ATLANTICO;17;61200;2019-01-05 17:29:39.060
ZONA FRANCA BARRANQUILLA;Inactivo;ATLANTICO;10;40000;2019-01-05 18:27:13.357
DON ROBERTO;Activo;ATLANTICO;40,5;145800;2019-01-03 14:02:44.230
ZONA FRANCA BARRANQUILLA;Inactivo;ATLANTICO;1;4000;2019-01-06 07:48:51.293
OLAYA;Inactivo;MAGDALENA;2,5;9000;2019-01-06 07:57:38.420
FERROCARRIL;Activo;MAGDALENA;14,25;51300;2019-01-06 08:07:19.943
3K;Activo;ATLANTICO;9,75;35100;2019-01-06 08:07:21.740
DON LEON;Activo;ATLANTICO;7,25;26100;2019-01-06 08:18:11.720
ALCAZARES;Inactivo;MAGDALENA;17,25;62100;2019-01-06 08:22:30.553
PORVENIR;Activo;ATLANTICO;1;3600;2019-01-06 08:26:59.720
DON ROBERTO;Activo;ATLANTICO;43;154800;2019-01-06 08:33:36.897
BAVARIA 2;Inactivo;MAGDALENA;5,25;18900;2019-01-06 08:34:59.600
PARAISO;Inactivo;ATLANTICO;3,5;12600;2019-01-06 08:44:21.320
EL REY;Activo;ATLANTICO;12;43200;2019-01-06 08:53:42.800
PLAN PAREJO;Inactivo;BOLIVAR;38;136800;2019-01-06 09:33:04.703
BAVARIA;Inactivo;MAGDALENA;8;28800;2019-01-06 09:39:33.933
ALTOS PLAN PAREJO;Activo;BOLIVAR;57,25;206100;2019-01-06 09:42:17.947
MARIA AUXILIADORA;Activo;ATLANTICO;12,5;45000;2019-01-06 09:45:41.810
TURBACO;Activo;BOLIVAR;31,25;112500;2019-01-06 09:58:03.130
CRUZ;Activo;BOLIVAR;110,25;396900;2019-01-06 10:06:57.637
BOKOBA;Inactivo;ATLANTICO;0;0;2019-01-06 10:07:23.473
CALLE 30;Inactivo;MAGDALENA;1;3600;2019-01-06 10:10:32.140
GRANJA;Activo;BOLIVAR;149,75;539100;2019-01-06 10:23:19.550
ARMELA;Inactivo;ATLANTICO;10,25;36900;2019-01-06 10:28:06.827
COBY;Inactivo;ATLANTICO;8;28800;2019-01-06 10:33:31.503
CIUDADELA;Activo;MAGDALENA;7,25;26100;2019-01-06 10:44:01.003
UNIMAGDALENA;Activo;MAGDALENA;5,5;19800;2019-01-06 10:57:28.663
MERIÑO;Inactivo;ATLANTICO;9,5;34200;2019-01-06 11:06:44.210
MALAMBO PALACE;Inactivo;ATLANTICO;5;18000;2019-01-06 11:28:05.227
MANZANARES;Activo;MAGDALENA;7,5;27000;2019-01-06 11:28:19.900
RODADERO;Inactivo;MAGDALENA;46,75;168300;2019-01-06 11:40:44.967
ARJONA;Activo;BOLIVAR;6;21600;2019-01-06 12:06:25.943
RODADERO 2;Inactivo;MAGDALENA;17,75;63900;2019-01-06 12:17:12.413
GAIRA;Inactivo;MAGDALENA;8,5;30600;2019-01-06 12:32:56.630
CURINCA;Inactivo;MAGDALENA;19;68400;2019-01-06 12:45:20.567
SANTA CRUZ;Inactivo;MAGDALENA;6,25;22500;2019-01-06 12:53:44.453
